postcode,placeName
10115,Berlin
10117,Berlin
10119,Berlin
10178,Berlin
10179,Berlin
10315,Berlin
10317,Berlin
10318,Berlin
10319,Berlin
10365,Berlin
10367,Berlin
10369,Berlin
10405,Berlin
10407,Berlin
10409,Berlin
10435,Berlin
10437,Berlin
10439,Berlin
10551,Berlin
10553,Berlin
10555,Berlin
10557,Berlin
10559,Berlin
10585,Berlin
10587,Berlin
10589,Berlin
10623,Berlin
10625,Berlin
10627,Berlin
10629,Berlin
10707,Berlin
10709,Berlin
10711,Berlin
10713,Berlin
10715,Berlin
10717,Berlin
10719,Berlin
10777,Berlin
10779,Berlin
10781,Berlin
10783,Berlin
10785,Berlin
10787,Berlin
10789,Berlin
10823,Berlin
10825,Berlin
10827,Berlin
10829,Berlin
11011,Berlin
12043,Berlin
12045,Berlin
12047,Berlin
12049,Berlin
12051,Berlin
12053,Berlin
12055,Berlin
12057,Berlin
12059,Berlin
12099,Berlin
12101,Berlin
12103,Berlin
12105,Berlin
12107,Berlin
12109,Berlin
12157,Berlin
12159,Berlin
12161,Berlin
12163,Berlin
12165,Berlin
12167,Berlin
12169,Berlin
12203,Berlin
12205,Berlin
12207,Berlin
12209,Berlin
12247,Berlin
12249,Berlin
12277,Berlin
12279,Berlin
12305,Berlin
12307,Berlin
12309,Berlin
12347,Berlin
12349,Berlin
12351,Berlin
12353,Berlin
12355,Berlin
12357,Berlin
12359,Berlin
12435,Berlin
12437,Berlin
12439,Berlin
12459,Berlin
12487,Berlin
12489,Berlin
12524,Berlin
12526,Berlin
12527,Berlin
12529,Berlin
12555,Berlin
12557,Berlin
12559,Berlin
12587,Berlin
12589,Berlin
12619,Berlin
12621,Berlin
12623,Berlin
12627,Berlin
12629,Berlin
12679,Berlin
12681,Berlin
12683,Berlin
12685,Berlin
12687,Berlin
12689,Berlin
13051,Berlin
13053,Berlin
13055,Berlin
13057,Berlin
13059,Berlin
13086,Berlin
13088,Berlin
13089,Berlin
13125,Berlin
13127,Berlin
13129,Berlin
13156,Berlin
13158,Berlin
13159,Berlin
13187,Berlin
13189,Berlin
13347,Berlin
13349,Berlin
13351,Berlin
13353,Berlin
13355,Berlin
13357,Berlin
13359,Berlin
13403,Berlin
13405,Berlin
13407,Berlin
13409,Berlin
13435,Berlin
13437,Berlin
13439,Berlin
13465,Berlin
13467,Berlin
13469,Berlin
13503,Berlin
13505,Berlin
13507,Berlin
13509,Berlin
13581,Berlin
13583,Berlin
13585,Berlin
13587,Berlin
13589,Berlin
13591,Berlin
13593,Berlin
13595,Berlin
13597,Berlin
13599,Berlin
13627,Berlin
13629,Berlin
14050,Berlin
14052,Berlin
14053,Berlin
14055,Berlin
14057,Berlin
14059,Berlin
14089,Berlin
14109,Berlin
14129,Berlin
14131,Berlin
14163,Berlin
14165,Berlin
14167,Berlin
14169,Berlin
14193,Berlin
14195,Berlin
14197,Berlin
14199,Berlin
10243,Berlin
10245,Berlin
10247,Berlin
10249,Berlin
10961,Berlin
10963,Berlin
10965,Berlin
10967,Berlin
10969,Berlin
10997,Berlin
10999,Berlin
15537,Berlin
13047,Berlin
80995,Munich
80331,Munich
81541,Munich
81243,Munich
81671,Munich
81675,Munich
80933,Munich
80689,Munich
80686,Munich
80335,Munich
80333,Munich
80807,Munich
80637,Munich
80634,Munich
81539,Munich
80687,Munich
80538,Munich
80796,Munich
80336,Munich
81379,Munich
81735,Munich
81543,Munich
80997,Munich
81245,Munich
81673,Munich
81677,Munich
80935,Munich
81375,Munich
80809,Munich
80638,Munich
80636,Munich
81549,Munich
80801,Munich
80797,Munich
80339,Munich
80337,Munich
81369,Munich
81475,Munich
81825,Munich
81545,Munich
80999,Munich
81667,Munich
81249,Munich
81679,Munich
81377,Munich
80539,Munich
80937,Munich
80992,Munich
81547,Munich
81241,Munich
81669,Munich
80802,Munich
80798,Munich
81247,Munich
81925,Munich
80469,Munich
80939,Munich
80993,Munich
80803,Munich
80799,Munich
81477,Munich
81829,Munich
81927,Munich
80639,Munich
80804,Munich
81371,Munich
81479,Munich
81929,Munich
81737,Munich
80805,Munich
81373,Munich
81739,Munich
20038,Hamburg
20095,Hamburg
20097,Hamburg
20099,Hamburg
20144,Hamburg
20146,Hamburg
20148,Hamburg
20149,Hamburg
20249,Hamburg
20251,Hamburg
20253,Hamburg
20255,Hamburg
20257,Hamburg
20259,Hamburg
20354,Hamburg
20355,Hamburg
20357,Hamburg
20359,Hamburg
20457,Hamburg
20459,Hamburg
20535,Hamburg
20537,Hamburg
20539,Hamburg
21029,Hamburg
21031,Hamburg
21033,Hamburg
21035,Hamburg
21037,Hamburg
21039,Hamburg
21073,Hamburg
21075,Hamburg
21077,Hamburg
21079,Hamburg
21107,Hamburg
21109,Hamburg
21129,Hamburg
21147,Hamburg
21149,Hamburg
22041,Hamburg
22043,Hamburg
22045,Hamburg
22047,Hamburg
22049,Hamburg
22081,Hamburg
22083,Hamburg
22085,Hamburg
22087,Hamburg
22089,Hamburg
22111,Hamburg
22115,Hamburg
22117,Hamburg
22119,Hamburg
22143,Hamburg
22145,Hamburg
22147,Hamburg
22149,Hamburg
22159,Hamburg
22175,Hamburg
22177,Hamburg
22179,Hamburg
22297,Hamburg
22299,Hamburg
22301,Hamburg
22303,Hamburg
22305,Hamburg
22307,Hamburg
22309,Hamburg
22335,Hamburg
22337,Hamburg
22339,Hamburg
22359,Hamburg
22391,Hamburg
22393,Hamburg
22395,Hamburg
22397,Hamburg
22399,Hamburg
22415,Hamburg
22417,Hamburg
22419,Hamburg
22453,Hamburg
22455,Hamburg
22457,Hamburg
22459,Hamburg
22523,Hamburg
22525,Hamburg
22527,Hamburg
22529,Hamburg
22547,Hamburg
22549,Hamburg
22559,Hamburg
22587,Hamburg
22589,Hamburg
22605,Hamburg
22607,Hamburg
22609,Hamburg
22761,Hamburg
22763,Hamburg
22765,Hamburg
22767,Hamburg
22769,Hamburg
60306,Frankfurt am Main
60308,Frankfurt am Main
60310,Frankfurt am Main
60311,Frankfurt am Main
60313,Frankfurt am Main
60314,Frankfurt am Main
60316,Frankfurt am Main
60318,Frankfurt am Main
60320,Frankfurt am Main
60322,Frankfurt am Main
60323,Frankfurt am Main
60325,Frankfurt am Main
60326,Frankfurt am Main
60327,Frankfurt am Main
60329,Frankfurt am Main
60385,Frankfurt am Main
60386,Frankfurt am Main
60388,Frankfurt am Main
60389,Frankfurt am Main
60431,Frankfurt am Main
60433,Frankfurt am Main
60435,Frankfurt am Main
60437,Frankfurt am Main
60438,Frankfurt am Main
60439,Frankfurt am Main
60486,Frankfurt am Main
60487,Frankfurt am Main
60488,Frankfurt am Main
60489,Frankfurt am Main
60528,Frankfurt am Main
60529,Frankfurt am Main
60549,Frankfurt am Main
60594,Frankfurt am Main
60596,Frankfurt am Main
60598,Frankfurt am Main
60599,Frankfurt am Main
65929,Frankfurt am Main
65931,Frankfurt am Main
65933,Frankfurt am Main
65934,Frankfurt am Main
65936,Frankfurt am Main
60547,Frankfurt am Main
61352,Frankfurt am Main
63067,Frankfurt am Main
50779,Cologne
51101,Cologne
50667,Cologne
50668,Cologne
50670,Cologne
50672,Cologne
50674,Cologne
50676,Cologne
50677,Cologne
50678,Cologne
50679,Cologne
50733,Cologne
50735,Cologne
50737,Cologne
50739,Cologne
50765,Cologne
50767,Cologne
50769,Cologne
50823,Cologne
50825,Cologne
50827,Cologne
50829,Cologne
50858,Cologne
50859,Cologne
50931,Cologne
50933,Cologne
50935,Cologne
50937,Cologne
50939,Cologne
50968,Cologne
50969,Cologne
50996,Cologne
50997,Cologne
50999,Cologne
51061,Cologne
51063,Cologne
51065,Cologne
51067,Cologne
51069,Cologne
51103,Cologne
51105,Cologne
51107,Cologne
51109,Cologne
51143,Cologne
51145,Cologne
51147,Cologne
51149,Cologne
40629,Düsseldorf
40211,Düsseldorf
40212,Düsseldorf
40213,Düsseldorf
40215,Düsseldorf
40217,Düsseldorf
40219,Düsseldorf
40221,Düsseldorf
40223,Düsseldorf
40225,Düsseldorf
40227,Düsseldorf
40229,Düsseldorf
40231,Düsseldorf
40233,Düsseldorf
40235,Düsseldorf
40237,Düsseldorf
40239,Düsseldorf
40468,Düsseldorf
40470,Düsseldorf
40472,Düsseldorf
40474,Düsseldorf
40476,Düsseldorf
40477,Düsseldorf
40479,Düsseldorf
40489,Düsseldorf
40545,Düsseldorf
40547,Düsseldorf
40549,Düsseldorf
40589,Düsseldorf
40591,Düsseldorf
40593,Düsseldorf
40595,Düsseldorf
40597,Düsseldorf
40599,Düsseldorf
40625,Düsseldorf
40627,Düsseldorf
40210,Düsseldorf
4103,Leipzig
4105,Leipzig
4107,Leipzig
4109,Leipzig
4129,Leipzig
4155,Leipzig
4157,Leipzig
4159,Leipzig
4177,Leipzig
4179,Leipzig
4205,Leipzig
4207,Leipzig
4209,Leipzig
4229,Leipzig
4249,Leipzig
4275,Leipzig
4277,Leipzig
4279,Leipzig
4288,Leipzig
4289,Leipzig
4299,Leipzig
4315,Leipzig
4316,Leipzig
4317,Leipzig
4318,Leipzig
4319,Leipzig
4329,Leipzig
4347,Leipzig
4349,Leipzig
4356,Leipzig
4357,Leipzig
4416,Leipzig
4425,Leipzig
4435,Leipzig
4442,Leipzig
4451,Leipzig
4463,Leipzig
4519,Leipzig
4523,Leipzig
4824,Leipzig
90402,Nurnberg
90403,Nurnberg
90408,Nurnberg
90409,Nurnberg
90411,Nurnberg
90419,Nurnberg
90425,Nurnberg
90427,Nurnberg
90429,Nurnberg
90431,Nurnberg
90439,Nurnberg
90441,Nurnberg
90443,Nurnberg
90449,Nurnberg
90451,Nurnberg
90453,Nurnberg
90455,Nurnberg
90459,Nurnberg
90461,Nurnberg
90469,Nurnberg
90471,Nurnberg
90473,Nurnberg
90475,Nurnberg
90478,Nurnberg
90480,Nurnberg
90482,Nurnberg
90489,Nurnberg
90491,Nurnberg
1067,Dresden
1069,Dresden
1097,Dresden
1099,Dresden
1108,Dresden
1109,Dresden
1127,Dresden
1129,Dresden
1139,Dresden
1156,Dresden
1157,Dresden
1159,Dresden
1169,Dresden
1187,Dresden
1189,Dresden
1217,Dresden
1219,Dresden
1237,Dresden
1239,Dresden
1257,Dresden
1259,Dresden
1277,Dresden
1279,Dresden
1307,Dresden
1309,Dresden
1324,Dresden
1326,Dresden
1328,Dresden
1465,Dresden
70173,Stuttgart
70174,Stuttgart
70176,Stuttgart
70178,Stuttgart
70180,Stuttgart
70182,Stuttgart
70184,Stuttgart
70186,Stuttgart
70188,Stuttgart
70190,Stuttgart
70191,Stuttgart
70192,Stuttgart
70193,Stuttgart
70195,Stuttgart
70197,Stuttgart
70199,Stuttgart
70327,Stuttgart
70329,Stuttgart
70372,Stuttgart
70374,Stuttgart
70376,Stuttgart
70378,Stuttgart
70435,Stuttgart
70437,Stuttgart
70439,Stuttgart
70469,Stuttgart
70499,Stuttgart
70563,Stuttgart
70565,Stuttgart
70567,Stuttgart
70569,Stuttgart
70597,Stuttgart
70599,Stuttgart
70619,Stuttgart
70629,Stuttgart